IKZF1,10320,97.18095,10320,nan
EPHA3,2042,98.0446,2042,nan
CASP10,843,98.63585,843,nan
CASP7,840,97.38514,840,nan
TGFBR2,7048,97.04268,7048,nan
NOTCH1,4851,97.67387,4851,nan
SHC1,6464,98.54806,6464,nan
SIRT3,23410,97.368675,23410,nan
CYCS,54205,106.423065,54205,nan
GNAI1,2770,97.199455,2770,nan
FBXO11,80204,99.6596,80204,nan
MEF2C,4208,97.962006,4208,nan
DUSP3,1845,94.20762,1845,nan
PPP1R13B,23368,96.08098,23368,nan
PRKCH,5583,99.961044,5583,nan
CCNA1,8900,94.91889,8900,nan
BAX,581,98.393364,581,nan
RPS5,6193,92.30197,6193,nan
SNCA,6622,96.06574,6622,nan
CHP,nan,nan,nan,TRUE
SPP1,6696,98.911964,6696,nan
AXIN1,8312,95.48224,8312,nan
CASP2,835,99.08526,835,nan
FZD7,8324,96.8021,8324,nan
DUSP6,1848,99.464035,1848,nan
ADRB2,154,97.42992,154,nan
MMP1,4312,104.00129,4312,nan
CDC25B,994,101.40112,994,nan
EPHB2,2048,97.80212,2048,nan
CHEK1,1111,97.76323,1111,nan
PDGFA,5154,100.35877,5154,nan
CXCL2,2920,116.36987,2920,nan
HLA-DRA,3122,114.38761,3122,nan
GNA15,2769,102.08411,2769,nan
RALGDS,5900,98.05039,5900,nan
SATB1,6304,98.27071,6304,nan
PFKL,5211,101.0218,5211,nan
GRB7,2886,99.14716,2886,nan
MAPKAPK2,9261,101.88583,9261,nan
MKNK1,8569,98.13672,8569,nan
HSPA1A,3303,107.92473,3303,nan
PLCB3,5331,101.63275,5331,nan
PLK1,5347,94.98369,5347,nan
MYLK,4638,99.04441,4638,nan
FGFR4,2264,97.39882,2264,nan
CDKN2A,1029,107.38277,1029,nan
CDKN1B,1027,97.23044,1027,nan
GAPDH,2597,97.587006,2597,nan
CISD1,55847,97.623924,55847,nan
SPDEF,25803,96.79257,25803,nan
IGF1R,3480,97.000885,3480,nan
GSTM2,2946,112.66781,2946,nan
SPTLC2,9517,96.58478,9517,nan
TSKU,25987,100.341805,25987,nan
TMEM2,23670,95.84526,23670,nan
SLC2A6,11182,96.85773,11182,nan
EZH2,2146,94.03793,2146,nan
ICAM3,3385,107.05847,3385,nan
PHKG2,5261,97.02387,5261,nan
KDM5B,10765,95.139145,10765,nan
